104C,"  KOYAMBEDU SCHOOL,  NERKUNDRAM,  MADURAVOYAL,  TVS MCC MOTORS,  TOLL PLAZA,  PORUR JN,  MANGADU RD JN,  KOVOOR RD JN,  PAMMAL ADAYAR BRIDGE,  THENDRAL NAGAR,  THIRUNEERMALAI RD.JN.,  PETROL BUNK,  MUDICHUR RD.JN.,  PERUNGALATHUR,  VANDALUR GATE,  VANDALUR ZOO,  URAPAKKAM,  PALAKKA COMPANY"
,
105,"  TAMBARAM EAST,  CONVENT,  MAHALAKSHMI NAGAR,  S.I.V.E.T,  MEDAVAKKAM RD.JN.,  CHITHALAPAKKAM,  ARASANKAZHANI,  OTTIAMBAKKAM,  THAZHAMBUR ROAD JN,  THAZHAMBUR PANCHAYAT OFFICE,  NAVALUR,  SIPCOT"
,
105A,"  TAMBARAM EAST,  CONVENT,  CAMP ROAD,  BALAJI NAGAR (BHARATH ENG COL),  MADAMBAKKAM KOIL,  NOOTHANCHERI,  JN.OF MAMBAKKAM & O.BAKKAM RD.,  CHITHALAPAKKAM,  ARASANKAZHANI,  OTTIAMBAKKAM,  KARANAI,  THALAMBUR,  NAVALUR,  SIPCOT"
,
109,"  SECRETARIAT,  CHEPAUK,  Q.M.C,  FORESHORE ESTATE,  A.M.S.HOSPITAL,  ADYAR O.T.,  ADYAR DEPOT,  THIRUVANMIYUR,  KOTTIVAKKAM,  PALAVAKKAM,  NEELANKARAI,  VETTUVANKENI,  CHOLA MANDAL,  INJAMBAKKAM,  PANAIYUR,  UTHANDI VILLAGE,  KANATHUR,  NATURE CARE HOSPITAL,  MUTTUKKADU,  MUTTUKKADU BOAT YARD"
,
109CT,"  ADYAR DEPOT,  THIRUVANMIYUR,  KOTTIVAKKAM,  PALAVAKKAM,  NEELANKARAI,  VETTUVANKENI,  CHOLA MANDAL,  INJAMBAKKAM,  PANAIYUR,  UTHANDI VILLAGE,  KANATHUR,  NATURE CARE HOSPITAL,  MUTTUKKADU,  MUTTUKKADU BOAT YARD"
,
109T,"  THRUVOTRIYUR TEMPLE,  THANGAL,  ANNA NAGAR,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  SECRETARIAT,  CHEPAUK,  Q.M.C,  FORESHORE ESTATE,  A.M.S.HOSPITAL,  ADYAR O.T.,  ADYAR DEPOT,  THIRUVANMIYUR,  KOTTIVAKKAM,  PALAVAKKAM,  NEELANKARAI,  VETTUVANKENI,  CHOLA MANDAL,  INJAMBAKKAM,  PANAIYUR,  UTHANDI VILLAGE,  KANATHUR,  NATURE CARE HOSPITAL,  MUTTUKKADU,  MUTTUKKADU BOAT YARD"
,
109X,"  SECRETARIAT,  CHEPAUK,  Q.M.ARTS COLLEGE,  FORESHORE ESTATE,  A.M.S.HOSPITAL,  ADYAR O.T.,  ADYAR DEPOT,  THIRUVANMIYUR,  KOTTIVAKKAM,  PALAVAKKAM,  NEELANKARAI,  VETTUVANKENI,  CHOLA MANDAL,  INJAMBAKKAM,  PANAIYUR,  UTHANDI VILLAGE,  KANATHUR,  NATURE CARE HOSPITAL,  MUTTUKKADU,  MUTTUKKADU BOAT YARD,  KOVALAM,  SALT OFFICE,  KELAMBAKKAM,  CHENGAMMAL RD. JN.,  KOMAN NAGAR RD JN.,  KALAVAKKAM TEA STALL"
,
10A,"  TONDAIAYRPET,  KALMANDAPAM P.S.,  CLIVE BATTERY,  PARRYS\BROADWAY,  M.G.R.CENTRAL,  EGMORE,  MATERNITY HOSPITAL,  D.P.I,  STERLING RD./METROLOG. DEPT.,  VIDYODAYA,  PONDY BAZAAR/VIVEK & CO,  THIAGARAYA NAGAR,  SRINIVASA THEATER"
,
10E,"  M.G.R.CENTRAL,  EGMORE,  MATERNITY HOSPITAL,  D.P.I,  STERLING RD./METROLOG. DEPT.,  VIDYODAYA,  VIVEK & CO (KRISHNAN KOIL),  THIAGARAYA NAGAR,  SRINIVASA THEATER,  GOVT. GIRLS H.SC,  JAFFARKHAN PET"
,
11,"  M.G.R.CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  PONDY BAZAAR"
,
111,"  VELAPPANCHAVADI,  VAANAGARAM,  MADURAVOYAL,  NERKUNDRAM,  KOYAMBEDU MARKET,  KOYAMBEDU P.S,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  ST THOMAS MOUNT PO,  MEENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRPORT,  PALLAVARAM,  CHROMEPET,  T.B.SANATORIUM"
,
